date,application,page_views
2020-07-27,FIND Test directory (Monkeypox),0
2020-07-27,FIND Test directory (NTDs),0
2020-08-03,FIND EQA directory (COVID-19),0
2020-08-03,FIND NGS Capacity (COVID-19),0
2020-08-03,FIND Sars-CoV-2 Policy dashboard,0
2020-08-03,FIND Sars-CoV-2 Test tracker,670
2020-08-03,FIND Test directory (COVID-19),0
2020-08-03,FIND Test directory (Ebola),0
2020-08-03,FIND Test directory (Monkeypox),0
2020-08-03,FIND Test directory (NTDs),0
2020-08-10,FIND EQA directory (COVID-19),0
2020-08-10,FIND NGS Capacity (COVID-19),0
2020-08-10,FIND Sars-CoV-2 Policy dashboard,0
2020-08-10,FIND Sars-CoV-2 Test tracker,602
2020-08-10,FIND Test directory (COVID-19),0
2020-08-10,FIND Test directory (Ebola),0
2020-08-10,FIND Test directory (Monkeypox),0
2020-08-10,FIND Test directory (NTDs),0
2020-08-17,FIND EQA directory (COVID-19),0
2020-08-17,FIND NGS Capacity (COVID-19),0
2020-08-17,FIND Sars-CoV-2 Policy dashboard,0
2020-08-17,FIND Sars-CoV-2 Test tracker,637
2020-08-17,FIND Test directory (COVID-19),0
2020-08-17,FIND Test directory (Ebola),0
2020-08-17,FIND Test directory (Monkeypox),0
2020-08-17,FIND Test directory (NTDs),0
2020-08-24,FIND EQA directory (COVID-19),0
2020-08-24,FIND NGS Capacity (COVID-19),0
2020-08-24,FIND Sars-CoV-2 Policy dashboard,0
2020-08-24,FIND Sars-CoV-2 Test tracker,767
2020-08-24,FIND Test directory (COVID-19),0
2020-08-24,FIND Test directory (Ebola),0
2020-08-24,FIND Test directory (Monkeypox),0
2020-08-24,FIND Test directory (NTDs),0
2020-08-31,FIND EQA directory (COVID-19),0
2020-08-31,FIND NGS Capacity (COVID-19),0
2020-08-31,FIND Sars-CoV-2 Policy dashboard,0
2020-08-31,FIND Sars-CoV-2 Test tracker,664
2020-08-31,FIND Test directory (COVID-19),0
2020-08-31,FIND Test directory (Ebola),0
2020-08-31,FIND Test directory (Monkeypox),0
2020-08-31,FIND Test directory (NTDs),0
2020-09-07,FIND EQA directory (COVID-19),0
2020-09-07,FIND NGS Capacity (COVID-19),0
2020-09-07,FIND Sars-CoV-2 Policy dashboard,0
2020-09-07,FIND Sars-CoV-2 Test tracker,1536
2020-09-07,FIND Test directory (COVID-19),0
2020-09-07,FIND Test directory (Ebola),0
2020-09-07,FIND Test directory (Monkeypox),0
2020-09-07,FIND Test directory (NTDs),0
2020-09-14,FIND EQA directory (COVID-19),0
2020-09-14,FIND NGS Capacity (COVID-19),0
2020-09-14,FIND Sars-CoV-2 Policy dashboard,0
2020-09-14,FIND Sars-CoV-2 Test tracker,1390
2020-09-14,FIND Test directory (COVID-19),0
2020-09-14,FIND Test directory (Ebola),0
2020-09-14,FIND Test directory (Monkeypox),0
2020-09-14,FIND Test directory (NTDs),0
2020-09-21,FIND EQA directory (COVID-19),0
2020-09-21,FIND NGS Capacity (COVID-19),0
2020-09-21,FIND Sars-CoV-2 Policy dashboard,0
2020-09-21,FIND Sars-CoV-2 Test tracker,1390
2020-09-21,FIND Test directory (COVID-19),0
2020-09-21,FIND Test directory (Ebola),0
2020-09-21,FIND Test directory (Monkeypox),0
2020-09-21,FIND Test directory (NTDs),0
2020-09-28,FIND EQA directory (COVID-19),0
2020-09-28,FIND NGS Capacity (COVID-19),0
2020-09-28,FIND Sars-CoV-2 Policy dashboard,0
2020-09-28,FIND Sars-CoV-2 Test tracker,1316
2020-09-28,FIND Test directory (COVID-19),0
2020-09-28,FIND Test directory (Ebola),0
2020-09-28,FIND Test directory (Monkeypox),0
2020-09-28,FIND Test directory (NTDs),0
2020-10-05,FIND EQA directory (COVID-19),0
2020-10-05,FIND NGS Capacity (COVID-19),0
2020-10-05,FIND Sars-CoV-2 Policy dashboard,0
2020-10-05,FIND Sars-CoV-2 Test tracker,1343
2020-10-05,FIND Test directory (COVID-19),0
2020-10-05,FIND Test directory (Ebola),0
2020-10-05,FIND Test directory (Monkeypox),0
2020-10-05,FIND Test directory (NTDs),0
2020-10-12,FIND EQA directory (COVID-19),0
2020-10-12,FIND NGS Capacity (COVID-19),0
2020-10-12,FIND Sars-CoV-2 Policy dashboard,0
2020-10-12,FIND Sars-CoV-2 Test tracker,1182
2020-10-12,FIND Test directory (COVID-19),0
2020-10-12,FIND Test directory (Ebola),0
2020-10-12,FIND Test directory (Monkeypox),0
2020-10-12,FIND Test directory (NTDs),0
2020-10-19,FIND EQA directory (COVID-19),0
2020-10-19,FIND NGS Capacity (COVID-19),0
2020-10-19,FIND Sars-CoV-2 Policy dashboard,0
2020-10-19,FIND Sars-CoV-2 Test tracker,1096
2020-10-19,FIND Test directory (COVID-19),0
2020-10-19,FIND Test directory (Ebola),0
2020-10-19,FIND Test directory (Monkeypox),0
2020-10-19,FIND Test directory (NTDs),0
2020-10-26,FIND EQA directory (COVID-19),0
2020-10-26,FIND NGS Capacity (COVID-19),0
2020-10-26,FIND Sars-CoV-2 Policy dashboard,0
2020-10-26,FIND Sars-CoV-2 Test tracker,891
2020-10-26,FIND Test directory (COVID-19),0
2020-10-26,FIND Test directory (Ebola),0
2020-10-26,FIND Test directory (Monkeypox),0
2020-10-26,FIND Test directory (NTDs),0
2020-11-02,FIND EQA directory (COVID-19),0
2020-11-02,FIND NGS Capacity (COVID-19),0
2020-11-02,FIND Sars-CoV-2 Policy dashboard,0
2020-11-02,FIND Sars-CoV-2 Test tracker,1056
2020-11-02,FIND Test directory (COVID-19),0
2020-11-02,FIND Test directory (Ebola),0
2020-11-02,FIND Test directory (Monkeypox),0
2020-11-02,FIND Test directory (NTDs),0
2020-11-09,FIND EQA directory (COVID-19),0
2020-11-09,FIND NGS Capacity (COVID-19),0
2020-11-09,FIND Sars-CoV-2 Policy dashboard,0
2020-11-09,FIND Sars-CoV-2 Test tracker,1077
2020-11-09,FIND Test directory (COVID-19),0
2020-11-09,FIND Test directory (Ebola),0
2020-11-09,FIND Test directory (Monkeypox),0
2020-11-09,FIND Test directory (NTDs),0
2020-11-16,FIND EQA directory (COVID-19),0
2020-11-16,FIND NGS Capacity (COVID-19),0
2020-11-16,FIND Sars-CoV-2 Policy dashboard,0
2020-11-16,FIND Sars-CoV-2 Test tracker,1350
2020-11-16,FIND Test directory (COVID-19),0
2020-11-16,FIND Test directory (Ebola),0
2020-11-16,FIND Test directory (Monkeypox),0
2020-11-16,FIND Test directory (NTDs),0
2020-11-23,FIND EQA directory (COVID-19),0
2020-11-23,FIND NGS Capacity (COVID-19),0
2020-11-23,FIND Sars-CoV-2 Policy dashboard,0
2020-11-23,FIND Sars-CoV-2 Test tracker,1351
2020-11-23,FIND Test directory (COVID-19),497
2020-11-23,FIND Test directory (Ebola),0
2020-11-23,FIND Test directory (Monkeypox),0
2020-11-23,FIND Test directory (NTDs),0
2020-11-30,FIND EQA directory (COVID-19),0
2020-11-30,FIND NGS Capacity (COVID-19),0
2020-11-30,FIND Sars-CoV-2 Policy dashboard,0
2020-11-30,FIND Sars-CoV-2 Test tracker,1307
2020-11-30,FIND Test directory (COVID-19),92
2020-11-30,FIND Test directory (Ebola),0
2020-11-30,FIND Test directory (Monkeypox),0
2020-11-30,FIND Test directory (NTDs),0
2020-12-07,FIND EQA directory (COVID-19),0
2020-12-07,FIND NGS Capacity (COVID-19),0
2020-12-07,FIND Sars-CoV-2 Policy dashboard,0
2020-12-07,FIND Sars-CoV-2 Test tracker,1212
2020-12-07,FIND Test directory (COVID-19),2
2020-12-07,FIND Test directory (Ebola),0
2020-12-07,FIND Test directory (Monkeypox),0
2020-12-07,FIND Test directory (NTDs),0
