date,application,page_views
2021-01-25,FIND Test directory (Ebola),0
2021-01-25,FIND Test directory (Monkeypox),0
2021-01-25,FIND Test directory (NTDs),0
2021-02-01,FIND EQA directory (COVID-19),0
2021-02-01,FIND Test directory (COVID-19),51
2021-02-01,FIND Test directory (Ebola),0
2021-02-01,FIND Test directory (Monkeypox),0
2021-02-01,FIND Test directory (NTDs),0
2021-02-08,FIND EQA directory (COVID-19),0
2021-02-08,FIND Test directory (COVID-19),8
2021-02-08,FIND Test directory (Ebola),0
2021-02-08,FIND Test directory (Monkeypox),0
2021-02-08,FIND Test directory (NTDs),0
2021-02-15,FIND EQA directory (COVID-19),0
2021-02-15,FIND Test directory (COVID-19),384
2021-02-15,FIND Test directory (Ebola),0
2021-02-15,FIND Test directory (Monkeypox),0
2021-02-15,FIND Test directory (NTDs),0
2021-02-22,FIND EQA directory (COVID-19),0
2021-02-22,FIND Test directory (COVID-19),644
2021-02-22,FIND Test directory (Ebola),0
2021-02-22,FIND Test directory (Monkeypox),0
2021-02-22,FIND Test directory (NTDs),0
2021-03-01,FIND EQA directory (COVID-19),0
2021-03-01,FIND Test directory (COVID-19),898
2021-03-01,FIND Test directory (Ebola),0
2021-03-01,FIND Test directory (Monkeypox),0
2021-03-01,FIND Test directory (NTDs),0
2021-03-08,FIND EQA directory (COVID-19),0
2021-03-08,FIND Test directory (COVID-19),771
2021-03-08,FIND Test directory (Ebola),0
2021-03-08,FIND Test directory (Monkeypox),0
2021-03-08,FIND Test directory (NTDs),0
2021-03-15,FIND EQA directory (COVID-19),0
2021-03-15,FIND Test directory (COVID-19),704
2021-03-15,FIND Test directory (Ebola),0
2021-03-15,FIND Test directory (Monkeypox),0
2021-03-15,FIND Test directory (NTDs),0
2021-03-22,FIND EQA directory (COVID-19),0
2021-03-22,FIND Test directory (COVID-19),756
2021-03-22,FIND Test directory (Ebola),0
2021-03-22,FIND Test directory (Monkeypox),0
2021-03-22,FIND Test directory (NTDs),0
2021-03-29,FIND EQA directory (COVID-19),0
2021-03-29,FIND Test directory (COVID-19),545
2021-03-29,FIND Test directory (Ebola),0
2021-03-29,FIND Test directory (Monkeypox),0
2021-03-29,FIND Test directory (NTDs),0
2021-04-05,FIND EQA directory (COVID-19),0
2021-04-05,FIND Test directory (COVID-19),693
2021-04-05,FIND Test directory (Ebola),0
2021-04-05,FIND Test directory (Monkeypox),0
2021-04-05,FIND Test directory (NTDs),0
2021-04-12,FIND EQA directory (COVID-19),0
2021-04-12,FIND Test directory (COVID-19),919
2021-04-12,FIND Test directory (Ebola),0
2021-04-12,FIND Test directory (Monkeypox),0
2021-04-12,FIND Test directory (NTDs),0
2021-04-19,FIND EQA directory (COVID-19),0
2021-04-19,FIND Test directory (COVID-19),688
2021-04-19,FIND Test directory (Ebola),0
2021-04-19,FIND Test directory (Monkeypox),0
2021-04-19,FIND Test directory (NTDs),0
2021-04-26,FIND EQA directory (COVID-19),0
2021-04-26,FIND Test directory (COVID-19),839
2021-04-26,FIND Test directory (Ebola),0
2021-04-26,FIND Test directory (Monkeypox),0
2021-04-26,FIND Test directory (NTDs),0
2021-05-03,FIND EQA directory (COVID-19),0
2021-05-03,FIND Test directory (COVID-19),699
2021-05-03,FIND Test directory (Ebola),0
2021-05-03,FIND Test directory (Monkeypox),0
2021-05-03,FIND Test directory (NTDs),0
2021-05-10,FIND EQA directory (COVID-19),0
2021-05-10,FIND Test directory (COVID-19),615
2021-05-10,FIND Test directory (Ebola),0
2021-05-10,FIND Test directory (Monkeypox),0
2021-05-10,FIND Test directory (NTDs),0
2021-05-17,FIND EQA directory (COVID-19),0
2021-05-17,FIND Test directory (COVID-19),604
2021-05-17,FIND Test directory (Ebola),0
2021-05-17,FIND Test directory (Monkeypox),0
2021-05-17,FIND Test directory (NTDs),0
2021-05-24,FIND EQA directory (COVID-19),0
2021-05-24,FIND Test directory (COVID-19),606
2021-05-24,FIND Test directory (Ebola),0
2021-05-24,FIND Test directory (Monkeypox),0
2021-05-24,FIND Test directory (NTDs),0
2021-05-31,FIND EQA directory (COVID-19),0
2021-05-31,FIND Test directory (COVID-19),531
2021-05-31,FIND Test directory (Ebola),0
2021-05-31,FIND Test directory (Monkeypox),0
2021-05-31,FIND Test directory (NTDs),0
2021-06-07,FIND EQA directory (COVID-19),0
2021-06-07,FIND Test directory (COVID-19),564
2021-06-07,FIND Test directory (Ebola),0
2021-06-07,FIND Test directory (Monkeypox),0
2021-06-07,FIND Test directory (NTDs),0
2021-06-14,FIND EQA directory (COVID-19),0
2021-06-14,FIND Test directory (COVID-19),660
2021-06-14,FIND Test directory (Ebola),0
2021-06-14,FIND Test directory (Monkeypox),0
2021-06-14,FIND Test directory (NTDs),0
2021-06-21,FIND EQA directory (COVID-19),0
2021-06-21,FIND Test directory (COVID-19),586
2021-06-21,FIND Test directory (Ebola),0
2021-06-21,FIND Test directory (Monkeypox),0
2021-06-21,FIND Test directory (NTDs),0
2021-06-28,FIND EQA directory (COVID-19),0
2021-06-28,FIND Test directory (COVID-19),578
2021-06-28,FIND Test directory (Ebola),0
2021-06-28,FIND Test directory (Monkeypox),0
2021-06-28,FIND Test directory (NTDs),0
2021-07-05,FIND EQA directory (COVID-19),0
2021-07-05,FIND Test directory (COVID-19),620
2021-07-05,FIND Test directory (Ebola),0
2021-07-05,FIND Test directory (Monkeypox),0
